Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
DefaultEntity,Person,[Population],Content,NumberInSystem,Average,94.0226735842555
DefaultEntity,Person,[Population],Content,NumberInSystem,Maximum,201
DefaultEntity,Person,[Population],Content,NumberInSystem,Minimum,0
DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Average,3.69626339559189
DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Maximum,13.2336859774107
DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Minimum,0.408909597355286
DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Observations,369
DefaultEntity,Person,[Population],Throughput,NumberCreated,Total,570
DefaultEntity,Person,[Population],Throughput,NumberDestroyed,Total,369
Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Average,3.71037327582429
Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,13.2336859774107
Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,0.408909597355286
Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Observations,361
Sink,Sink1,InputBuffer,Throughput,NumberEntered,Total,361
Sink,Sink1,InputBuffer,Throughput,NumberExited,Total,361
Sink,Sink10,[DestroyedEntities],FlowTime,TimeInSystem,Average,2.34827716027666
Sink,Sink10,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,2.34827716027666
Sink,Sink10,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,2.34827716027666
Sink,Sink10,[DestroyedEntities],FlowTime,TimeInSystem,Observations,1
Sink,Sink10,InputBuffer,Throughput,NumberEntered,Total,1
Sink,Sink10,InputBuffer,Throughput,NumberExited,Total,1
Sink,Sink14,[DestroyedEntities],FlowTime,TimeInSystem,Average,2.10003561083826
Sink,Sink14,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,2.10003561083826
Sink,Sink14,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,2.10003561083826
Sink,Sink14,[DestroyedEntities],FlowTime,TimeInSystem,Observations,1
Sink,Sink14,InputBuffer,Throughput,NumberEntered,Total,1
Sink,Sink14,InputBuffer,Throughput,NumberExited,Total,1
Sink,Sink3,[DestroyedEntities],FlowTime,TimeInSystem,Average,6.71434913574317
Sink,Sink3,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,6.71434913574317
Sink,Sink3,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,6.71434913574317
Sink,Sink3,[DestroyedEntities],FlowTime,TimeInSystem,Observations,1
Sink,Sink3,InputBuffer,Throughput,NumberEntered,Total,1
Sink,Sink3,InputBuffer,Throughput,NumberExited,Total,1
Sink,Sink6,[DestroyedEntities],FlowTime,TimeInSystem,Average,2.10018528592757
Sink,Sink6,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,2.14388970487411
Sink,Sink6,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,2.05648086698103
Sink,Sink6,[DestroyedEntities],FlowTime,TimeInSystem,Observations,2
Sink,Sink6,InputBuffer,Throughput,NumberEntered,Total,2
Sink,Sink6,InputBuffer,Throughput,NumberExited,Total,2
Sink,Sink8,[DestroyedEntities],FlowTime,TimeInSystem,Average,5.68149816192524
Sink,Sink8,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,5.68149816192524
Sink,Sink8,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,5.68149816192524
Sink,Sink8,[DestroyedEntities],FlowTime,TimeInSystem,Observations,1
Sink,Sink8,InputBuffer,Throughput,NumberEntered,Total,1
Sink,Sink8,InputBuffer,Throughput,NumberExited,Total,1
Sink,Sink9,[DestroyedEntities],FlowTime,TimeInSystem,Average,1.71595488010057
Sink,Sink9,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,2.39389455090332
Sink,Sink9,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,1.03801520929783
Sink,Sink9,[DestroyedEntities],FlowTime,TimeInSystem,Observations,2
Sink,Sink9,InputBuffer,Throughput,NumberEntered,Total,2
Sink,Sink9,InputBuffer,Throughput,NumberExited,Total,2
Source,Source1,OutputBuffer,Content,NumberInStation,Average,4.84677299245357
Source,Source1,OutputBuffer,Content,NumberInStation,Maximum,15
Source,Source1,OutputBuffer,Content,NumberInStation,Minimum,0
Source,Source1,OutputBuffer,HoldingTime,TimeInStation,Average,0.829806755177038
