Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,1,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,0
Scenario1,2,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,0
Scenario1,3,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,0
Scenario1,4,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,0
Scenario1,5,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,0
Scenario1,6,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,0
Scenario1,7,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,0
Scenario1,8,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,0
Scenario1,9,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,0
Scenario1,10,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,0
Scenario1,1,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,0
Scenario1,2,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,0
Scenario1,3,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,0
Scenario1,4,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,0
Scenario1,5,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,0
Scenario1,6,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,0
Scenario1,7,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,0
Scenario1,8,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,0
Scenario1,9,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,0
Scenario1,10,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,0
Scenario1,1,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,2,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,3,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,4,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,5,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,6,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,7,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,8,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,9,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,10,DefaultEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
