Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
DefaultEntity,Person,[Population],Content,NumberInSystem,Average,4.3604394754023
DefaultEntity,Person,[Population],Content,NumberInSystem,Maximum,16
DefaultEntity,Person,[Population],Content,NumberInSystem,Minimum,0
DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Average,0.688027246795715
DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Maximum,2.38062720241521
DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Minimum,0.0579984955169586
DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Observations,152
DefaultEntity,Person,[Population],Throughput,NumberCreated,Total,153
DefaultEntity,Person,[Population],Throughput,NumberDestroyed,Total,152
Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Average,0.633584323820516
Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,0.633584323820516
Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,0.633584323820516
Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Observations,1
Sink,Sink1,InputBuffer,Throughput,NumberEntered,Total,1
Sink,Sink1,InputBuffer,Throughput,NumberExited,Total,1
Sink,Sink10,[DestroyedEntities],FlowTime,TimeInSystem,Average,1.02769536415456
Sink,Sink10,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,1.5282227696242
Sink,Sink10,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,0.446693670582587
Sink,Sink10,[DestroyedEntities],FlowTime,TimeInSystem,Observations,3
Sink,Sink10,InputBuffer,Throughput,NumberEntered,Total,3
Sink,Sink10,InputBuffer,Throughput,NumberExited,Total,3
Sink,Sink4,[DestroyedEntities],FlowTime,TimeInSystem,Average,0.615991118886269
Sink,Sink4,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,1.3572439551061
Sink,Sink4,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,0.161099355904067
Sink,Sink4,[DestroyedEntities],FlowTime,TimeInSystem,Observations,6
Sink,Sink4,InputBuffer,Throughput,NumberEntered,Total,6
Sink,Sink4,InputBuffer,Throughput,NumberExited,Total,6
Sink,Sink5,[DestroyedEntities],FlowTime,TimeInSystem,Average,0.538285968701518
Sink,Sink5,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,1.33777293560827
Sink,Sink5,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,0.0579984955169586
Sink,Sink5,[DestroyedEntities],FlowTime,TimeInSystem,Observations,16
Sink,Sink5,InputBuffer,Throughput,NumberEntered,Total,16
Sink,Sink5,InputBuffer,Throughput,NumberExited,Total,16
Sink,Sink6,[DestroyedEntities],FlowTime,TimeInSystem,Average,0.637923057962745
Sink,Sink6,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,1.50515529816999
Sink,Sink6,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,0.181268657539766
Sink,Sink6,[DestroyedEntities],FlowTime,TimeInSystem,Observations,6
Sink,Sink6,InputBuffer,Throughput,NumberEntered,Total,6
Sink,Sink6,InputBuffer,Throughput,NumberExited,Total,6
Sink,Sink7,[DestroyedEntities],FlowTime,TimeInSystem,Average,0.680952443646205
Sink,Sink7,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,2.38062720241521
Sink,Sink7,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,0.114707341025551
Sink,Sink7,[DestroyedEntities],FlowTime,TimeInSystem,Observations,65
Sink,Sink7,InputBuffer,Throughput,NumberEntered,Total,65
Sink,Sink7,InputBuffer,Throughput,NumberExited,Total,65
Sink,Sink8,[DestroyedEntities],FlowTime,TimeInSystem,Average,0.726364413451191
Sink,Sink8,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,2.10715024645934
Sink,Sink8,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,0.130238548263517
Sink,Sink8,[DestroyedEntities],FlowTime,TimeInSystem,Observations,53
Sink,Sink8,InputBuffer,Throughput,NumberEntered,Total,53
Sink,Sink8,InputBuffer,Throughput,NumberExited,Total,53
Sink,Sink9,[DestroyedEntities],FlowTime,TimeInSystem,Average,0.984093893214848
Sink,Sink9,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,1.23139820160379
Sink,Sink9,[DestroyedEntities],FlowTime,TimeInSystem,Minimum,0.736789584825903
Sink,Sink9,[DestroyedEntities],FlowTime,TimeInSystem,Observations,2
Sink,Sink9,InputBuffer,Throughput,NumberEntered,Total,2
Sink,Sink9,InputBuffer,Throughput,NumberExited,Total,2
Source,Source1,OutputBuffer,Content,NumberInStation,Average,1.25083053697714
Source,Source1,OutputBuffer,Content,NumberInStation,Maximum,9
Source,Source1,OutputBuffer,Content,NumberInStation,Minimum,0
