"revenue","outcalls","incalls","months","eqpdays","webcap","marryyes","travel","pcown","creditcd","retcalls","churndep"
83.53,20.0,1.0,31.0,745.0,"1","0","0","0","0",4.0,"1"
29.99,0.0,0.0,52.0,1441.0,"0","0","0","1","1",3.0,"1"
37.75,2.67,0.0,25.0,572.0,"0","0","0","1","1",3.0,"1"
5.25,0.0,0.0,45.0,1354.0,"0","0","0","0","0",2.0,"1"
42.71,8.67,0.0,27.0,224.0,"1","0","0","0","0",3.0,"1"
53.69,15.0,2.33,23.0,267.0,"1","0","0","0","1",3.0,"1"
33.66,8.33,0.0,31.0,933.0,"1","0","0","0","0",2.0,"1"
52.56,80.0,31.67,33.0,402.0,"1","0","0","0","1",3.0,"1"
22.5,8.67,2.67,37.0,243.0,"1","0","0","0","0",3.0,"1"
98.47,24.67,3.33,35.0,13.0,"0","0","1","1","1",3.0,"1"
7.82,0.0,0.0,24.0,561.0,"0","0","0","0","0",2.0,"1"
25.14,15.0,1.0,25.0,743.0,"1","0","0","0","0",2.0,"1"
131.09,76.67,7.0,25.0,740.0,"1","1","0","0","1",2.0,"1"
10.0,0.0,0.0,54.0,1636.0,"0","1","0","0","1",1.0,"1"
5.0,0.0,0.0,53.0,1584.0,"0","1","1","1","1",1.0,"1"
30.69,1.33,0.0,25.0,709.0,"1","0","0","0","1",2.0,"1"
69.11,18.0,2.67,48.0,1430.0,"0","0","0","0","1",1.0,"1"
40.07,3.67,0.0,42.0,1278.0,"0","0","0","0","0",1.0,"1"
51.22,1.0,0.33,44.0,1346.0,"0","1","0","0","1",1.0,"1"
84.92,67.0,0.33,15.0,451.0,"1","1","0","0","1",2.0,"1"
12.21,0.0,0.0,35.0,540.0,"0","1","0","0","1",2.0,"1"
170.92,35.0,0.33,10.0,302.0,"1","1","0","0","1",2.0,"1"
199.0,88.67,40.0,19.0,368.0,"1","0","0","0","0",2.0,"1"
16.14,0.0,0.0,44.0,1324.0,"0","0","0","0","1",1.0,"1"
61.72,19.33,39.0,16.0,464.0,"1","0","0","0","0",2.0,"1"
150.0,1.67,1.0,11.0,295.0,"1","0","0","1","1",2.0,"1"
113.78,14.0,0.0,12.0,341.0,"1","0","0","0","1",2.0,"1"
71.38,0.33,0.0,27.0,345.0,"0","1","0","0","1",2.0,"1"
89.58,18.67,12.0,14.0,417.0,"1","0","0","0","1",2.0,"1"
37.49,18.0,33.67,32.0,718.0,"1","1","0","0","1",2.0,"1"
121.87,26.33,6.67,11.0,314.0,"1","1","0","0","1",2.0,"1"
15.33,3.0,1.67,41.0,1242.0,"0","1","1","0","1",1.0,"1"
30.54,1.0,0.0,40.0,1205.0,"0","1","0","0","1",1.0,"1"
80.94,87.67,46.67,13.0,386.0,"1","0","0","0","0",2.0,"1"
393.09,141.33,60.0,14.0,95.0,"1","0","0","0","0",2.0,"1"
58.27,4.33,0.67,37.0,1138.0,"0","0","0","0","1",1.0,"1"
75.18,40.0,16.0,34.0,1030.0,"0","0","0","0","0",1.0,"1"
200.17,51.67,17.0,26.0,805.0,"0","1","0","0","0",1.0,"1"
