"","x"
"1",39774
"2",189709
"3",229838
"4",239630
"5",289975
"6",339665
"7",339834
"8",399566
"9",529915
"10",549975
"11",550000
"12",559947
"13",699812
"14",749556
"15",789747
"16",799904
"17",819740
"18",819895
"19",839964
"20",1109826
"21",1109884
"22",1109886
"23",1129755
"24",1139567
"25",1179795
"26",1179804
"27",1209903
"28",1229691
"29",1249961
"30",1269893
"31",1309751
"32",1369928
"33",1409661
"34",1429948
"35",1439849
"36",1459955
"37",1489990
"38",1539803
"39",1539975
"40",1599627
"41",1609938
"42",1619818
"43",1629937
"44",1639780
"45",1649869
"46",1749580
"47",1829913
"48",1839669
"49",1879807
"50",1889991
"51",1979644
"52",1979728
"53",2009681
"54",2059893
"55",2089806
"56",2089808
"57",2169803
"58",2199832
"59",2199862
"60",2299969
"61",2389981
"62",2439937
"63",2629968
"64",2649914
"65",2649945
"66",2679893
"67",2689745
"68",2709567
"69",2739902
"70",2749795
"71",2769892
"72",2809951
"73",2889977
"74",3009958
"75",3089715
"76",3119890
"77",3179779
"78",3259598
"79",3349948
"80",3389801
"81",3469803
"82",3469901
"83",3579812
"84",3629937
"85",3689897
"86",3789517
"87",3799775
"88",3879648
"89",3939806
"90",3949807
"91",4019802
"92",4139766
"93",4139769
"94",4179994
"95",4189891
"96",4219822
"97",4229650
"98",4289603
"99",4419627
"100",4519741
"101",4539915
"102",4609812
"103",4629627
"104",4669939
"105",4689635
"106",4729717
"107",4739636
"108",4739810
"109",4739889
"110",4769713
"111",4829933
"112",5019895
"113",5059954
"114",5089853
"115",5099956
"116",5119801
"117",5149830
"118",5209899
"119",5279820
"120",5289814
"121",5449953
"122",5519783
"123",5529802
"124",5619915
"125",5639732
"126",5649957
"127",5839958
"128",5859762
"129",5959780
"130",6019835
"131",6069830
"132",6119775
"133",6119974
"134",6139769
"135",6169864
"136",6229899
"137",6269731
"138",6369940
"139",6509938
"140",6529929
"141",6599547
"142",6619659
"143",6679813
"144",6729743
"145",6739641
"146",6759673
"147",6939855
"148",6989901
"149",7019663
"150",7079973
"151",7119528
"152",7119955
"153",7229797
"154",7269949
"155",7289711
"156",7309995
"157",7329826
"158",7359778
"159",7449893
"160",7529982
"161",7539946
"162",7579639
"163",7609764
"164",7619808
"165",7739787
"166",7759925
"167",7819901
"168",7859980
"169",7919932
"170",8049900
"171",8069572
"172",8169802
"173",8169913
"174",8399671
"175",8409665
"176",8409818
"177",8449833
"178",8489894
"179",8519818
"180",8679785
"181",8679834
"182",8679838
"183",8709887
"184",8739918
"185",8749884
"186",8849964
"187",8859775
"188",8949893
"189",9089753
"190",9209960
"191",9249877
"192",9259780
"193",9319932
"194",9339837
"195",9349783
"196",9449822
"197",9469815
"198",9519528
"199",9519828
"200",9579953
"201",9749794
"202",9799906
"203",9799941
"204",9829826
"205",9859853
"206",9919642
"207",9919996
"208",9929819
"209",9949606
"210",9989829
"211",10009638
"212",10029739
"213",10079850
"214",10179783
"215",10269678
"216",10329832
"217",10389846
"218",10459935
"219",10499784
"220",10529754
"221",10629613
"222",10689564
"223",10759583
"224",10909884
"225",10979809
"226",11009819
"227",11019926
"228",11129794
"229",11139538
"230",11139932
"231",11149903
"232",11199633
"233",11229895
"234",11299762
"235",11379727
"236",11399749
"237",11509860
"238",11559947
"239",11609863
"240",11619991
"241",11629812
"242",11679751
"243",11709889
"244",11759842
"245",11779919
"246",11789750
"247",11909942
"248",11939573
"249",12109797
"250",12319803
"251",12379838
"252",12389800
"253",12419558
"254",12539937
"255",12609746
"256",12639726
"257",12649573
"258",12649991
"259",12729680
"260",12899871
"261",12919958
"262",12929901
"263",12939970
"264",12959585
"265",13129627
"266",13169822
"267",13199601
"268",13319958
"269",13319969
"270",13329941
"271",13439986
"272",13559676
"273",13559834
"274",13649822
"275",13669829
"276",13769859
"277",13889806
"278",13929992
"279",13949945
"280",13999824
"281",14029648
"282",14179914
"283",14229767
"284",14239708
"285",14259755
"286",14299896
"287",14459812
"288",14549652
"289",14549834
"290",14579809
"291",14649887
"292",14669762
"293",14669832
"294",14699979
"295",14719985
"296",14759822
"297",14939857
"298",15129903
"299",15149791
"300",15169906
"301",15219892
"302",15289821
"303",15309821
"304",15449830
"305",15529995
"306",15599558
"307",15599790
"308",15619808
"309",15629812
"310",15729796
"311",15739825
"312",15759884
"313",15769920
"314",15819912
"315",15969821
"316",16139538
"317",16139814
"318",16189799
"319",16209847
"320",16249638
"321",16329990
"322",16359924
"323",16489694
"324",16509646
"325",16599965
"326",16619528
"327",16679780
"328",16789824
"329",16809940
"330",16829850
"331",16879828
"332",16899629
"333",16979906
"334",17239998
"335",17259642
"336",17299665
"337",17499832
"338",17579985
"339",17599817
"340",17629866
"341",17659633
"342",17659971
"343",17709893
"344",17829579
"345",17889830
"346",17899931
"347",17959971
"348",18199905
"349",18219808
"350",18239665
"351",18289915
"352",18419697
"353",18419851
"354",18429945
"355",18509580
"356",18519751
"357",18539776
"358",18539850
"359",18569788
"360",18579802
"361",18629833
"362",18689591
"363",18739973
"364",18759806
"365",18789726
"366",18829966
"367",18849645
"368",18859893
"369",18899989
"370",19069784
"371",19109770
"372",19139957
"373",19159974
"374",19169899
"375",19259971
"376",19279750
"377",19279784
"378",19339540
"379",19339933
"380",19369626
"381",19379563
"382",19489797
"383",19509983
"384",19529936
"385",19549720
"386",19719957
"387",19809975
"388",19899641
"389",19909679
"390",19939978
"391",20019865
"392",20049997
"393",20129679
"394",20159580
"395",20279683
"396",20299846
"397",20319699
"398",20319968
"399",20439913
"400",20439925
