"week","prod_id","seasonality","holiday","big_holiday","weekly_price","weekly_discount","sales_amount","Email","Flyer","Paid_Search","Web_Display","TV","Radio","base_price","base","due_to_Price","due_to_Promo","due_to_Flyer","due_to_Email","due_to_Web_Display","due_to_Store_Display","due_to_Paid_Search","due_to_TV","due_to_Radio"
2016-01-03,138936951,5435.05102,0,0,0.69,0,206,0,0,47733,0,0,0,0.69,189.956617132034,0,0,0,0,0,0,16.0433828679656,0,0
2016-01-10,138936951,5335.27551,0,0,0.69,0,187,0,0,29342,0,0,0,0.69,177.703892292364,-2.68039595719588e-14,0,0,0,0,0,9.29610770763574,0,0
2016-01-17,138936951,5262.316327,0,0,0.69,0,182,0,0,31367,0,0,0,0.69,172.337265777115,0,0,0,0,0,0,9.662734222885,0,0
2016-01-24,138936951,5252.102041,0,0,0.69,0,193,0,0,24650,0,0,0,0.69,184.843506917978,0,0,0,0,0,0,8.15649308202225,0,0
2016-01-31,138936951,5327.520408,0,0,0.69,0,162,0,0,3288,0,0,0,0.69,161.052315403939,-2.42988405487647e-14,0,0,0,0,0,0.947684596060927,0,0
2016-02-07,138936951,5516.459184,1,0,0.69,0.1,237,0,0,17507,0,0,0,0.69,201.148976613999,-3.0151323718423e-14,29.6064632323509,0,0,0,0,5.9456158912653,0,0
2016-02-14,138936951,5686.591837,0,0,0.69,0,180,0,0,23529,0,0,0,0.69,172.844408696821,0,0,0,0,0,0,7.15559130317869,0,0
2016-02-21,138936951,5867.561224,0,0,0.69,0,184,0,0,36556,0,0,0,0.69,172.984061438761,0,0,0,0,0,0,11.0159385612391,0,0
2016-02-28,138936951,6017.255102,0,0,0.69,0,205,0,0,1660,0,0,0,0.69,204.408712704184,0,0,0,0,0,0,0.591287295815703,0,0
2016-03-06,138936951,6209.806122,0,0,0.69,0,202,0,0,22561,0,0,0,0.69,194.442653033721,0,0,0,0,0,0,7.55734696627889,0,0
2016-03-13,138936951,6429.489796,0,0,0.69,0,186,0,0,3769,0,0,0,0.69,184.806338697206,-2.68607862930365e-14,0,0,0,0,0,1.19366130279389,0,0
2016-03-20,138936951,6636.459184,1,0,0.69,0.05,235,0,0,23157,0,0,0,0.69,211.732969477955,-6.11296983386959e-14,14.9689358464833,0,0,0,0,8.08912976104565,0,0
2016-03-27,138936951,6872.387755,1,0,0.69,0.05,230,0,0,4912,0,0,0,0.69,213.154599870668,0,15.0832927044866,0,0,0,0,1.7200294316343,0,0
2016-04-03,138936951,7178.938776,0,0,0.69,0,179,0,0,34775,0,0,0,0.69,169.29323898771,0,0,0,0,0,0,9.70676101228967,0,0
2016-04-10,138936951,7395.22449,0,0,0.69,0,200,0,0,12244,0,0,0,0.69,196.053195369594,0,0,0,0,0,0,3.9468046304064,0,0
2016-04-17,138936951,7664.795918,1,0,0.69,0.1,271,0,0,20063,0,0,0,0.69,232.615988192207,0,30.8144236153561,0,0,0,0,7.02999665071452,0,0
2016-04-24,138936951,7919.316327,1,0,0.69,0.1,220,0,0,3196,0,0,0,0.69,193.325451144108,-5.35673972864803e-14,25.6782792060507,0,0,0,0,0.927093109230909,0,0
2016-05-01,138936951,8199.142857,1,0,0.69,0.1,202,0,0,8889,0,0,0,0.69,176.492861439144,0,23.0114493270135,0,0,0,0,2.31146904791636,0,0
2016-05-08,138936951,8516.928571,0,0,0.69,0,241,0,0,34262,0,0,0,0.69,228.809864137949,0,0,0,0,0,0,12.1901358620515,0,0
2016-05-15,138936951,8811.969388,0,0,0.69,0,250,0,0,46593,0,0,0,0.69,233.399225098989,0,0,0,0,0,0,16.6007749010113,0,0
2016-05-22,138936951,9105.581633,1,0,0.69,0,215,0,0,5554,0,0,0,0.69,213.186660131868,0,0,0,0,0,0,1.81333986813213,0,0
2016-05-29,138936951,9522.030612,0,0,0.69,0,205,0,0,28383,0,0,0,0.69,196.684660482443,0,0,0,0,0,0,8.31533951755668,0,0
2016-06-05,138936951,9967.591837,1,0,0.69,0.2,326,0,1,34790,0,0.535736428809084,0.493787330243005,0.69,230.310582781807,0,36.2996674287044,11.7957633736419,0,0,0,6.23694105984981,19.1500925287826,0
2016-06-12,138936951,10402.4898,0,0,0.69,0,242,0,0,37552,0,0.506194809912152,0.438977617910447,0.69,205.874300568673,0,0,0,0,0,0,9.76038930074386,25.1201691039867,0
2016-06-19,138936951,10771.52041,0,0,0.69,0,154,0,0,5543,0,0.477256972274267,0.387203723277589,0.69,136.769354132465,0,0,0,0,0,0,0.968415784160911,16.1528733980081,0
2016-06-26,138936951,11120.06122,0,0,0.69,0,322,0,0,16482,0,0.449065342002492,0.339192911388731,0.69,284.725737421425,0,0,0,0,0,0,5.87457090084351,30.7448795714803,0
2016-07-03,138936951,11497.30612,0,0,0.69,0.05,284,0,0,33914,4e+05,0.421738225446744,0.295358450996547,0.69,233.72719361329,0,10.897330784672,0,0,5.44533138446681,0,8.60890277956717,20.4544486093346,0
2016-07-10,138936951,11776.19388,0,0,0.69,0,278,0,0,40955,2e+05,0.395370797782317,0.255857047014719,0.69,240.448945294989,0,0,0,0,2.99999340435703,0,11.615069706716,21.0960850429883,0
2016-07-17,138936951,11892.13265,0,0,0.69,0,259,0,0,29209,4e+05,0.370036556615148,0.220649833259629,0.69,225.431743494959,0,0,0,0,5.69411712672362,0,7.70989790093111,18.4851348162771,0
2016-07-24,138936951,11859.92857,0,0,0.69,0.05,263,0,0,28608,3e+05,0.345789092692387,0.189559024443169,0.69,221.976091251217,0,10.5975362598781,0,0,3.9552065894962,0,7.03041829716949,16.0860856203207,0
2016-07-31,138936951,11748.41837,0,0,0.69,0,243,0,0,41482,4e+05,0.322664051220265,0.162316196393666,0.69,210.540424134284,0,0,0,0,5.33067986647428,0,10.3564251786059,14.9889448275922,0
2016-08-07,138936951,11537.63265,1,0,0.69,0.1,266,0,0,8184,0,0.300681179555485,0.138600855210125,0.69,224.382974775844,0,22.7582822499633,0,0,0,0,2.04446970270297,14.3755074772318,0
2016-08-14,138936951,11259.60204,1,0,0.75,0,233,0,0,38927,0,0.279846378552315,0.118069600241598,0.69,223.287029793011,-16.9389905961965,0,0,0,0,0,11.9604109135192,15.8694353946954,0
2016-08-21,138936951,10835.37755,0,0,0.75,0,232,0,0,13910,0,0.260153694582893,0.100377040098805,0.69,230.983106698464,-18.565307773822,0,0,0,0,0,4.58222608636523,15.9370758404338,0
2016-08-28,138936951,10356.82653,0,0,0.75,0,224,0,0,32201,0,0.241587206619196,0.085189946523915,0.69,218.342628099616,-17.6686900764899,0,0,0,0,0,10.1910612690103,14.0938815926817,0
2016-09-04,138936951,9897.285714,0,0,0.75,0,262,0,0,18891,0,0.224122777525842,0.0721961401932899,0.69,261.429016502446,-22.036070865242,0,0,0,0,0,7.36542794891208,16.1499366726935,0
2016-09-11,138936951,9453.704082,0,0,0.75,0,164,0,0,17587,0,0.20772965085785,0.0611094470775336,0.69,164.706896425258,-14.2390553413229,0,0,0,0,0,4.41417191982294,9.62256211894733,0
2016-09-18,138936951,9003.265306,0,0,0.75,0,205,0,0,42687,0,0.192371884139565,0.051671841849467,0.69,199.075356511066,-17.2125579782725,0,0,0,0,0,13.1086407044565,10.809753651545,0
2016-09-25,138936951,8594.27551,0,0,0.75,0,185,0,0,16211,0,0.178009617067189,0.0436536634465723,0.69,187.856041994305,-16.9949357059165,0,0,0,0,0,4.82534703467332,9.75515723045724,0
2016-10-02,138936951,8154.459184,1,0,0.75,0.2,236,0,0,7044,0,0.472665657061331,0.638271261787645,0.69,182.06971393568,-12.4512319789714,43.8016669675987,0,0,0,0,1.59675382601463,21.0366185428351,0
2016-10-09,138936951,7766.846939,0,0,0.75,0,175,0,0,25588,0,0.444605804202449,0.581438595114474,0.69,162.375805115842,-14.5018854124077,0,0,0,0,0,6.59227707538574,21.3745939699365,0
2016-10-16,138936951,7436.367347,0,0,0.75,0,225,0,0,39205,0,0.417427312560093,0.524200042470333,0.69,205.926660862706,-18.540672279618,0,0,0,0,0,12.9857018662106,25.6514305043117,0
2016-10-23,138936951,7119.765306,0,0,0.75,0,227,0,0,2643,0,0.391221760111861,0.46818029700581,0.69,221.165606333624,-21.0001745783889,0,0,0,0,0,0.968069484271087,26.6245557044483,0
2016-10-30,138936951,6883.785714,1,0,0.75,0.05,232,0,0,14965,0,0.366059314428428,0.414659022551032,0.69,209.127592054305,-19.2028767810191,14.6124767724901,0,0,0,0,5.08507162994639,23.2209254150926,0
2016-11-06,138936951,6772.306122,0,0,0.75,0,235,0,0,18537,0,0.341990542023309,0.364551342893669,0.69,226.337632466371,-21.7327982057379,0,0,0,0,0,7.05466095568279,24.0623993139011,0
2016-11-13,138936951,6712.010204,0,0,0.75,0,210,0,0,45114,0,0.319048390033303,0.31843318373836,0.69,195.229844554487,-18.4594807555575,0,0,0,0,0,14.7718937268989,19.2202184043435,0
2016-11-20,138936951,6632.091837,0,0,0.75,0,211,0,0,41354,0,0.297250239542617,0.276591841010425,0.69,198.495564198888,-18.9686282774008,0,0,0,0,0,13.8571879883833,18.3188144207812,0
2016-11-27,138936951,6553.765306,1,0,0.75,0.1,269,0,0,16708,0,0.276599951149589,0.239086329613261,0.69,232.652685857876,-21.0802148697035,32.8133979413775,0,0,0,0,6.26972861628473,19.3179221825278,0
2016-12-04,138936951,6488.877551,1,0,0.75,0,223,0,0,48090,0,0.257089842759053,0.205807093528249,0.69,209.917719852382,-20.2111602580093,0,0,0,0,0,17.1729799273426,16.8363516666104,0
2016-12-11,138936951,6408.908163,0,0,0.75,0,231,0,0,5852,0,0.238702556543388,0.176529105882292,0.69,234.584389835871,-23.3439193161514,0,0,0,0,0,2.3643101008611,17.7425491915195,0
2016-12-18,138936951,6241.306122,1,0,0.75,0.1,294,2e+05,0,15524,0,0.221412786350369,0.150955713531825,0.69,236.612206163084,-20.3379011321431,32.3629199369385,0,24.2608923351743,0,0,5.67893847285322,15.0808798075509,0
2016-12-25,138936951,5913.846939,1,0,0.75,0.1,228,2e+05,0,20837,0,0.205188848570999,0.128752761205549,0.69,182.385894448476,-15.9438642081343,25.3246598515027,0,18.9899703248393,0,0,5.98950542624423,10.9246445807347,0
2017-01-01,138936951,5601.346939,0,1,0.75,0.1,284,2e+05,0,3894,0,0.189994088787556,0.109573775849652,0.69,251.007410950575,-12.20452752873,20.7375399851598,0,15.3855197037246,0,0,0.871373351459454,8.06277574500803,0
2017-01-08,138936951,5435.05102,0,0,0.75,0,169,0,0,12826,0,0.175788123658412,0.0930775720641186,0.69,173.159037438996,-17.9753899172505,0,0,0,0,0,3.97005414781915,9.98066223679503,0
2017-01-15,138936951,5335.27551,0,0,0.75,0,193,0,0,31447,0,0.162527922758836,0.0789397964696147,0.69,192.061006780087,-19.9020531785734,0,0,0,0,0,10.8266122182221,10.2628545846594,0
2017-01-22,138936951,5262.316327,0,0,0.75,0,212,0,0,43794,0,0.150168738790556,0.0668598467754624,0.69,207.241038126554,-21.4461416883888,0,0,0,0,0,16.3014310310735,10.2440952799313,0
2017-01-29,138936951,5252.102041,0,0,0.75,0.05,216,0,0,37269,0,0.138664896988365,0.0565644056981509,0.69,199.378876287648,-20.2300893229884,15.1263158255377,0,0,0,0,13.2310136606428,9.0100447216395,0
2017-02-05,138936951,5327.520408,0,0,0.75,0,182,0,0,10558,0,0.127970455954422,0.047808598293615,0.69,190.361257279466,-19.9051393140385,0,0,0,0,0,3.60707089797876,8.01593984352764,0
2017-02-12,138936951,5516.459184,0,0,0.75,0,171,0,0,10658,0,0.118039752772316,0.0403755568986263,0.69,179.374759315004,-18.6261996645818,0,0,0,0,0,3.40888689502147,6.92318549765709,0
2017-02-19,138936951,5686.591837,0,0,0.75,0,209,0,0,29633,0,0.108827845291137,0.0340749813626564,0.69,212.351881589182,-21.7829192115468,0,0,0,0,0,11.1486763069572,7.50781161305059,0
2017-02-26,138936951,5867.561224,1,0,0.75,0.2,274,0,1,21665,0,0.340334606941618,0.635811657340429,0.69,194.548254963088,-14.0539575198931,49.7531885727799,17.0787112945942,0,0,0,5.62841029206032,16.8170965956158,0
2017-03-05,138936951,6017.255102,0,0,0.75,0,171,0,0,45288,1e+05,0.317472770935268,0.578923086000721,0.69,157.314297254156,-15.3290949612862,0,0,0,1.45638467146913,0,12.2792393425874,15.8294354146732,0
2017-03-12,138936951,6209.806122,0,0,0.75,0,161,0,0,10114,2e+05,0.295755628496474,0.521706252383048,0.69,156.494662291282,-15.4883853153167,0,0,0,2.92687720531869,0,2.7266680517077,14.7149658801728,0
2017-03-19,138936951,6429.489796,0,0,0.75,0,251,0,0,47634,4e+05,0.275186162057131,0.465771948217338,0.69,227.444926148251,-21.4922202348904,0,0,0,8.24815714880152,0,18.2409279094857,19.3438328300715,0
2017-03-26,138936951,6636.459184,0,0,0.75,0,211,0,0,8125,3e+05,0.255755947125877,0.412383851381423,0.69,206.518066194589,-20.0954604903764,0,0,0,5.70832130496601,0,2.84375833883024,16.524703475166,0
2017-04-02,138936951,6872.387755,0,0,0.79,0,199,0,0,1183,1e+05,0.237447010192866,0.362441424029575,0.69,216.391625865172,-35.4430396083346,0,0,0,2.001039975642,0,0.436103520504537,16.0420392409039,0
2017-04-09,138936951,7178.938776,1,0,0.79,0.1,225,0,0,26566,0,0.220233545527676,0.316506749948848,0.69,206.538323030217,-30.8037205242319,29.0310067605206,0,0,0,0,8.90919374263235,13.610004816606,0
2017-04-16,138936951,7395.22449,1,0,0.79,0,161,0,0,1530,0,0.204083474617168,0.274855819346932,0.69,178.406359812504,-28.7457733258584,0,0,0,0,0,0.457276944003782,11.1811141181206,0
2017-04-23,138936951,7664.795918,1,0,0.79,0.1,214,0,0,22127,0,0.188959841134869,0.23753903227683,0.69,199.734983253763,-29.3575256285343,27.6548429057983,0,0,0,0,7.05883100775981,11.1045765007182,0
2017-04-30,138936951,7919.316327,1,0,0.79,0.1,168,0,0,28041,0,0.174822041327609,0.204440715414292,0.69,156.162268055704,-22.5546236266836,21.3533774188931,0,0,0,0,6.9101286283768,7.91377335978635,0
2017-05-07,138936951,8199.142857,1,0,0.79,0.2,318,0,1,13776,0,0.47085861507088,0.41315058705133,0.69,238.687465132275,-24.3607877171198,54.8022855759133,18.673352775571,0,0,0,3.87265364714849,25.9915783302181,0
2017-05-14,138936951,8516.928571,0,0,0.79,0,202,0,0,36217,0,0.442851604941385,0.363152294114896,0.69,195.904562829724,-28.2932570929484,0,0,0,0,0,11.1492898830442,25.28406304424,0
2017-05-21,138936951,8811.969388,0,0,0.79,0,199,0,0,48031,0,0.415732442790118,0.317155665960141,0.69,191.133046460706,-26.9777607958708,0,0,0,0,0,14.231787658826,22.7749753553681,0
2017-05-28,138936951,9105.581633,0,0,0.79,0,216,0,0,24956,0,0.38959129734176,0.275440493351475,0.69,216.374426087187,-31.0133074470698,0,0,0,0,0,8.35902346847141,24.199882987493,0
2017-06-04,138936951,9522.030612,1,0,0.79,0.2,262,0,1,32108,0,0.52990225065372,0.601235126214849,0.69,195.789086165956,-16.869098289649,39.4022863702287,13.1953114916973,0,0,0,6.46483331270502,20.9735149732405,0
2017-06-11,138936951,9967.591837,1,0,0.79,0.05,179,0,0,2581,0,0.500466665429168,0.543937442895761,0.69,169.31456185837,-22.0983700247043,10.4783822734021,0,0,0,0,0.62292523447158,23.0350603294536,0
