"week","prod_id","seasonality","holiday","big_holiday","weekly_price","weekly_discount","sales_amount","Email","Flyer","Paid_Search","Store_Display","Web_Display","TV","Radio","base_price","base","due_to_Price","due_to_Promo","due_to_Flyer","due_to_Email","due_to_Web_Display","due_to_Store_Display","due_to_Paid_Search","due_to_TV","due_to_Radio"
2015-12-27,138936952,5601.346939,"0",1,3.99,0.5,11,0,1,19444,0,0,0,0,3.99,8.81996975238295,0,1.95840442289583,0,0,0,0,0.23891328325733,0,0
2016-01-03,138936952,5435.05102,"0",0,3.99,0,78,0,0,47733,0,0,0,0,3.99,73.3893655654996,0,0,0,0,0,0,4.61063443450037,0,0
2016-01-10,138936952,5335.27551,"0",0,3.99,0,83,0,0,29342,0,0,0,0,3.99,79.9130503026048,0,0,0,0,0,0,3.08694969739515,0,0
2016-01-17,138936952,5262.316327,"0",0,3.99,0,100,0,0,31367,0,0,0,0,3.99,96.0157872139273,0,0,0,0,0,0,3.98421278607275,0,0
2016-01-24,138936952,5252.102041,"0",0,3.99,0,112,0,0,24650,0,0,0,0,3.99,108.468435546581,4.12769121528767e-14,0,0,0,0,0,3.53156445341849,0,0
2016-01-31,138936952,5327.520408,"0",0,3.99,0,92,0,0,3288,0,0,0,0,3.99,91.6065942573965,1.7282542825615e-14,0,0,0,0,0,0.393405742603456,0,0
2016-02-07,138936952,5516.459184,"1",0,3.99,0.5,115,0,0,17507,1,0,0,0,3.99,85.163285590386,0,16.3661069196422,0,0,0,13.112913048826,1.73124029510473,0,0
2016-02-14,138936952,5686.591837,"0",0,3.99,0,65,0,0,23529,0,0,0,0,3.99,63.0890203878835,0,0,0,0,0,0,1.91097961211651,0,0
2016-02-21,138936952,5867.561224,"0",0,3.99,0,84,0,0,36556,0,0,0,0,3.99,80.2509556049175,0,0,0,0,0,0,3.74904439508251,0,0
2016-02-28,138936952,6017.255102,"0",0,3.99,0,69,0,0,1660,0,0,0,0,3.99,68.8566322132157,0,0,0,0,0,0,0.143367786784327,0,0
2016-03-06,138936952,6209.806122,"0",0,3.99,0,77,0,0,22561,0,0,0,0,3.99,74.894000476075,0,0,0,0,0,0,2.10599952392505,0,0
2016-03-13,138936952,6429.489796,"0",0,3.99,0,95,0,0,3769,0,0,0,0,3.99,94.5639200222668,0,0,0,0,0,0,0.436079977733222,0,0
2016-03-20,138936952,6636.459184,"1",0,3.99,0.5,126,0,1,23157,0,0,0,0,3.99,105.22620056814,0,18.208435053012,0,0,0,0,2.55486643843289,0,0
2016-03-27,138936952,6872.387755,"1",0,3.99,0,93,0,0,4912,0,0,0,0,3.99,92.5308758703788,1.22674844482655e-14,0,0,0,0,0,0.469124129621192,0,0
2016-04-03,138936952,7178.938776,"0",0,3.99,0,90,0,0,34775,0,0,0,0,3.99,86.4774802124672,0,0,0,0,0,0,3.52251978753276,0,0
2016-04-10,138936952,7395.22449,"0",0,3.99,0,120,0,0,12244,0,0,0,0,3.99,118.334741742033,0,0,0,0,0,0,1.66525825796685,0,0
2016-04-17,138936952,7664.795918,"1",0,3.99,0.5,147,0,1,20063,0,0,0,0,3.99,125.00964920444,3.09586203789341e-14,19.5657498124406,0,0,0,0,2.35032893116577,0,0
2016-04-24,138936952,7919.316327,"1",0,3.99,0.5,136,0,0,3196,0,0,0,0,3.99,117.634809144627,2.85269713469351e-14,18.0095108615161,0,0,0,0,0.343352222050203,0,0
2016-05-01,138936952,8199.142857,"1",0,3.99,0.5,163,0,1,8889,0,0,0,0,3.99,140.906419280463,0,20.9377484391397,0,0,0,0,1.10658663388394,0,0
