"","V1","V2","year"
"1","10077-85","1",1990
"2","10134-73","1",1990
"3","10241-02","1",1990
"4","11106-82","1",1990
"5","11127-88","1",1990
"6","11162-08","1",1990
"7","11184-40","1",1990
"8","11194-12","1",1990
"9","11211-40","1",1990
"10","11220-22","1",1990
"11","11251-81","1",1990
"12","11295-73","1",1990
"13","11304-28","1",1990
"14","11308-51","1",1990
"15","11318-77","1",1990
"16","179240-41","1",1990
"17","52385-59","1",1990
"18","55741-15","1",1990
"19","10077-85","0",1991
"20","10134-73","0",1991
"21","10139-41","0",1991
"22","10241-02","0",1991
"23","10367-47","0",1991
"24","10446-40","0",1991
"25","11106-82","0",1991
"26","11127-88","0",1991
"27","11153-98","0",1991
"28","11162-08","0",1991
"29","11184-40","0",1991
"30","11184-49","0",1991
"31","11194-12","0",1991
"32","11207-89","0",1991
"33","11211-40","0",1991
"34","11212-21","0.999999999998979",1991
"35","11220-22","0",1991
"36","11228-50","1",1991
"37","11251-81","0",1991
"38","11262-88","0",1991
"39","11275-75","0",1991
"40","11295-73","0",1991
"41","11304-28","0",1991
"42","11308-51","0",1991
"43","11312-29","0",1991
"44","11318-77","1",1991
"45","11326-33","0.999999999998979",1991
"46","179240-41","0",1991
"47","183990-70","0",1991
"48","26034-31","0",1991
"49","26034-40","0",1991
"50","51044-50","0",1991
"51","52116-76","0",1991
"52","52385-59","0",1991
"53","55741-15","0",1991
"54","56255-86","0",1991
"55","57314-80","0",1991
"56","62013-97","0",1991
"57","63967-15","0",1991
"58","98783-56","0",1991
"59","10077-85","0",1992
"60","10134-73","0",1992
"61","10139-41","0",1992
"62","10241-02","0",1992
"63","10367-47","0",1992
"64","10446-40","0",1992
"65","11106-82","0",1992
"66","11120-59","0",1992
"67","11122-12","0",1992
"68","11127-88","0",1992
"69","11153-98","0",1992
"70","11162-08","0",1992
"71","11184-40","0",1992
"72","11184-49","0",1992
"73","11194-12","0",1992
"74","11207-89","0",1992
"75","11211-40","0",1992
"76","11212-21","0",1992
"77","11220-22","0",1992
"78","11228-50","0.000881607807720969",1992
"79","11237-50","0",1992
"80","11237-95","0",1992
"81","11251-81","0",1992
"82","11262-88","0",1992
"83","11275-75","0",1992
"84","11295-73","0",1992
"85","11304-28","0",1992
"86","11308-51","0",1992
"87","11312-29","0",1992
"88","11318-77","0",1992
"89","11322-28","0",1992
"90","11326-33","0.000887378822229383",1992
"91","11326-69","0",1992
"92","11337-76","0",1992
"93","11867-23","0",1992
"94","179240-41","0",1992
"95","183990-70","0",1992
"96","26034-31","0",1992
"97","26034-40","0",1992
"98","41016-79","0",1992
"99","42739-75","0",1992
"100","51044-50","0",1992
"101","51050-17","0",1992
"102","52116-76","0",1992
"103","52385-59","0",1992
"104","53811-55","1",1992
"105","54313-66","0",1992
"106","55741-15","0",1992
"107","55796-41","0",1992
"108","56255-86","0",1992
"109","57314-80","0",1992
"110","62013-97","0",1992
"111","63967-15","0",1992
"112","98783-56","0",1992
"113","10077-85","0",1993
"114","10134-73","0",1993
"115","10139-41","0",1993
"116","10241-02","0",1993
"117","10367-47","0",1993
"118","10446-40","0",1993
"119","10458-73","0",1993
"120","11106-82","0",1993
"121","11108-89","0",1993
"122","11110-69","0",1993
"123","11111-86","0",1993
"124","11115-19","0",1993
"125","11115-28","0",1993
"126","11120-59","0",1993
"127","11122-12","0",1993
"128","11127-88","0",1993
"129","11153-98","0",1993
"130","11162-08","0",1993
"131","11173-60","0",1993
"132","11174-14","0",1993
"133","11179-99","0",1993
"134","11184-40","0",1993
"135","11184-49","4.07425591320517e-07",1993
"136","11191-96","0",1993
"137","11192-68","4.07425591417662e-07",1993
"138","11194-12","0",1993
"139","11207-89","0",1993
"140","11211-40","4.07425591376028e-07",1993
"141","11212-21","4.0742559130664e-07",1993
"142","11220-22","0",1993
"143","11228-50","8.14851182696546e-07",1993
"144","11237-50","0",1993
"145","11237-95","0",1993
"146","11251-81","1",1993
"147","11261-71","0",1993
"148","11262-88","0",1993
"149","11265-13","0",1993
"150","11274-04","0",1993
"151","11275-75","0",1993
"152","11295-73","4.07425591334395e-07",1993
"153","11304-28","0",1993
"154","11308-51","0",1993
"155","11312-29","0",1993
"156","11318-77","4.07425591320517e-07",1993
"157","11322-28","4.07425591320517e-07",1993
"158","11326-33","4.07425591417662e-07",1993
"159","11326-69","4.07425591348273e-07",1993
"160","11337-76","0",1993
"161","11867-23","0",1993
"162","179240-41","0",1993
"163","183990-70","0",1993
"164","26034-31","0",1993
"165","26034-40","0",1993
"166","40668-76","4.07425591320517e-07",1993
"167","41016-79","0",1993
"168","42259-87","0",1993
"169","42739-75","0",1993
"170","44459-02","0",1993
"171","51044-50","0",1993
"172","51050-17","0",1993
"173","51077-44","0",1993
"174","51702-67","0",1993
"175","51747-13","0",1993
"176","52116-76","0",1993
"177","52385-59","0",1993
"178","52765-57","0",1993
"179","53811-55","4.07425591334395e-07",1993
"180","54313-66","0",1993
"181","55741-15","0",1993
"182","55796-41","0",1993
"183","55955-08","0",1993
"184","56255-86","0",1993
"185","57314-80","0",1993
"186","62013-97","0",1993
"187","63967-15","0",1993
"188","98783-56","0",1993
"189","10022-14","0",1994
"190","10052-20","0",1994
"191","10070-83","0.5",1994
"192","10077-85","0",1994
"193","10134-73","0",1994
"194","10135-81","0",1994
"195","10139-41","0.5",1994
"196","10181-17","0",1994
"197","10241-02","0",1994
"198","10367-47","0",1994
"199","10446-40","0",1994
"200","10458-73","0",1994
"201","10639-63","0",1994
"202","11106-82","0",1994
"203","11108-89","0",1994
"204","11110-33","0",1994
"205","11110-69","0",1994
