"","Investor_Id","Year","Percent"
"1","100016-92",2013,10000
"2","100016-92",2014,5000
"3","100016-92",2016,5000
"4","100016-92",2017,10000
"5","100035-19",2006,10000
"6","100035-19",2008,10000
"7","100035-19",2009,5000
"8","100035-19",2010,3333.33333333333
"9","100035-19",2011,3333.33333333333
"10","100035-19",2012,3750
"11","100035-19",2013,3333.33333333333
"12","100035-19",2014,3333.33333333333
"13","100035-19",2015,5555.55555555555
"14","100035-19",2016,5000
"15","100035-19",2017,10000
"16","100050-76",2015,10000
"17","100092-16",2008,10000
"18","100104-13",2014,10000
"19","100104-13",2015,10000
"20","100105-93",2007,10000
"21","100105-93",2013,5000
"22","100105-93",2014,10000
"23","100105-93",2015,5000
"24","100105-93",2016,2000
"25","100105-93",2017,10000
"26","100143-46",2011,10000
"27","100143-46",2013,10000
"28","100143-46",2014,4400
"29","100143-46",2015,1239.6694214876
"30","100143-46",2016,2500
"31","100143-46",2017,10000
"32","100147-96",2008,10000
"33","100147-96",2014,3750
"34","100147-96",2015,10000
"35","100153-81",2013,5000
"36","100153-81",2014,3333.33333333333
"37","100153-81",2015,3333.33333333333
"38","100153-81",2016,3750
"39","100153-81",2017,5555.55555555555
"40","100157-23",2014,10000
"41","100157-23",2016,5000
"42","100193-86",2014,10000
"43","100193-86",2017,10000
"44","10020-07",1996,10000
"45","10020-07",1997,10000
"46","10020-07",1999,10000
"47","10020-07",2000,3125
"48","10020-07",2001,5000
"49","10020-07",2002,6800
"50","10020-07",2003,2187.5
"51","10020-07",2004,1360.94674556213
"52","10020-07",2005,2098.76543209876
"53","10020-07",2006,1570.2479338843
"54","10020-07",2007,1570.2479338843
"55","10020-07",2008,2500
"56","10020-07",2009,1074.38016528926
"57","10020-07",2010,1250
"58","10020-07",2011,1358.02469135802
"59","10020-07",2012,1400
"60","10020-07",2013,1836.73469387755
"61","10020-07",2014,1250
"62","10020-07",2015,3750
"63","10020-07",2016,3333.33333333333
"64","10020-07",2017,2800
"65","10020-07",2018,10000
"66","10022-14",1994,10000
"67","10022-14",1995,10000
"68","10022-14",1998,5000
"69","10022-14",1999,3333.33333333333
"70","10022-14",2000,1666.66666666667
"71","10022-14",2001,3750
"72","10022-14",2002,2500
"73","10022-14",2003,3333.33333333333
"74","10022-14",2004,2800
"75","10022-14",2005,2222.22222222222
"76","10022-14",2006,1074.38016528926
"77","10022-14",2007,833.333333333333
"78","10022-14",2008,1404.95867768595
"79","10022-14",2009,1604.93827160494
"80","10022-14",2010,2098.76543209876
"81","10022-14",2011,1479.2899408284
"82","10022-14",2012,1239.6694214876
"83","10022-14",2013,1715.97633136095
"84","10022-14",2014,1093.75
"85","10022-14",2015,2083.33333333333
"86","10022-14",2016,1484.375
"87","10022-14",2017,1211.07266435986
"88","10022-14",2018,2800
"89","100236-79",2013,10000
"90","100236-79",2015,835.629017447199
"91","100236-79",2016,2400
"92","100236-79",2017,5000
"93","100240-93",2013,10000
"94","100240-93",2014,10000
"95","100247-86",2013,10000
"96","100247-86",2014,5000
"97","100247-86",2015,2800
"98","100247-86",2017,3333.33333333333
"99","100273-15",2014,10000
"100","100273-15",2015,2222.22222222222
"101","100273-15",2016,2187.5
"102","100273-15",2017,5000
"103","100280-98",2013,10000
"104","100296-28",2009,10000
"105","100296-28",2014,3333.33333333333
"106","100296-28",2015,1597.63313609467
"107","100296-28",2016,2500
"108","100296-28",2017,5000
"109","100338-31",2014,1358.02469135802
"110","100338-31",2015,5000
"111","100338-31",2016,5000
"112","100338-31",2018,10000
"113","100348-21",2009,10000
"114","100348-21",2014,10000
"115","100357-12",2014,5555.55555555555
"116","100357-12",2015,5555.55555555555
"117","100357-12",2016,3333.33333333333
"118","100357-12",2017,5000
"119","100357-12",2018,5000
"120","100405-81",2018,10000
"121","100439-92",2012,10000
"122","100464-85",2013,10000
"123","100464-85",2014,5000
"124","100464-85",2015,1124.26035502959
"125","100464-85",2016,1836.73469387755
"126","100464-85",2017,1875
"127","100464-85",2018,5000
"128","100470-79",2004,5000
"129","100470-79",2006,10000
"130","100470-79",2007,10000
"131","100470-79",2008,3333.33333333333
"132","100470-79",2010,10000
"133","100470-79",2011,5555.55555555555
"134","100470-79",2012,10000
"135","100470-79",2014,5000
"136","100470-79",2015,2500
"137","100470-79",2016,5000
"138","100470-79",2017,3333.33333333333
"139","100473-49",2014,10000
"140","10052-20",1990,10000
"141","10052-20",1993,10000
"142","10052-20",1994,10000
"143","10052-20",1995,3333.33333333333
"144","10052-20",1996,10000
"145","10052-20",1997,2800
"146","10052-20",1998,3333.33333333333
"147","10052-20",1999,1239.6694214876
"148","10052-20",2000,1111.11111111111
"149","10052-20",2001,1358.02469135802
"150","10052-20",2002,1124.26035502959
"151","10052-20",2003,785.123966942149
"152","10052-20",2004,972.222222222222
"153","10052-20",2005,623.818525519849
"154","10052-20",2006,555.555555555556
"155","10052-20",2007,525
"156","10052-20",2008,544.677821288715
"157","10052-20",2009,752
"158","10052-20",2010,410.15625
"159","10052-20",2011,550
"160","10052-20",2012,615.24334251607
"161","10052-20",2013,751.385041551246
"162","10052-20",2014,830.769230769231
"163","10052-20",2015,1080.3324099723
"164","10052-20",2016,1256
"165","10052-20",2017,1120.66648750336
"166","10052-20",2018,1342.1550094518
"167","100530-01",2014,10000
"168","100530-01",2015,10000
"169","100534-78",2000,10000
"170","100534-78",2001,10000
"171","100536-13",2014,10000
"172","100536-13",2018,10000
"173","100552-51",2013,10000
"174","100552-51",2014,5000
"175","100552-51",2015,5000
"176","100552-51",2016,10000
"177","100552-51",2017,5000
"178","100552-51",2018,10000
"179","100554-04",2013,10000
"180","100554-04",2014,3333.33333333333
"181","100554-04",2015,1666.66666666667
"182","100554-04",2016,10000
"183","100554-04",2017,10000
"184","100554-04",2018,10000
"185","100564-30",2014,10000
"186","100564-30",2015,10000
"187","100564-30",2016,10000
"188","100575-55",2011,10000
"189","100575-55",2012,10000
"190","100575-55",2013,2000
"191","100575-55",2014,2222.22222222222
"192","100575-55",2015,3750
"193","100575-55",2016,3333.33333333333
"194","100575-55",2017,5000
"195","100582-75",2014,5000
"196","100582-75",2017,5000
"197","100582-93",2012,10000
"198","100582-93",2014,10000
"199","10060-57",1999,10000
"200","10060-57",2000,1875
"201","10060-57",2001,2500
"202","10060-57",2002,10000
"203","10060-57",2003,3333.33333333333
"204","10060-57",2004,1666.66666666667
"205","10060-57",2005,10000
"206","10060-57",2006,5000
"207","10060-57",2007,10000
"208","10060-57",2010,5000
"209","10060-57",2011,10000
"210","10060-57",2012,5000
"211","100624-51",2012,10000
"212","100624-51",2013,2000
"213","100624-51",2014,3437.5
"214","100624-51",2015,1360.94674556213
"215","100624-51",2016,1562.5
"216","100624-51",2017,1005.91715976331
"217","100624-51",2018,2222.22222222222
"218","100638-10",2013,10000
"219","100638-10",2014,5555.55555555555
"220","100644-04",2006,10000
"221","100644-04",2008,10000
"222","100651-51",2013,2000
"223","100651-51",2014,2000
"224","100651-51",2016,1562.5
"225","100651-51",2017,3333.33333333333
"226","100676-62",2015,10000
"227","10068-04",1997,10000
"228","10068-04",1998,3333.33333333333
"229","10068-04",1999,5000
"230","10068-04",2000,2500
"231","10068-04",2001,1239.6694214876
"232","10068-04",2002,1836.73469387755
"233","10068-04",2003,2000
"234","10068-04",2004,1836.73469387755
"235","10068-04",2005,1428.57142857143
"236","10068-04",2006,2000
"237","10068-04",2007,1239.6694214876
"238","10068-04",2008,1428.57142857143
"239","10068-04",2009,1604.93827160494
"240","10068-04",2010,1562.5
"241","10068-04",2011,1666.66666666667
"242","10068-04",2012,2500
"243","10068-04",2013,1428.57142857143
"244","10068-04",2014,5000
"245","10068-04",2015,5000
"246","10068-04",2016,10000
"247","100690-93",2011,10000
"248","100690-93",2013,5000
"249","100690-93",2014,3333.33333333333
"250","100690-93",2015,5000
"251","100690-93",2016,1666.66666666667
"252","100690-93",2017,10000
"253","100693-27",2015,10000
"254","10070-83",1993,10000
"255","10070-83",1994,2000
"256","10070-83",1995,2500
"257","10070-83",1996,2500
"258","10070-83",1997,1400
"259","10070-83",1998,887.573964497041
