"","lead","non","year"
"1","11227-60","11227-60",2018
"2","52507-90","11227-60",2018
"3","11227-60","11295-73",2018
"4","52507-90","11295-73",2018
"5","11227-60","52507-90",2018
"6","52507-90","52507-90",2018
"7","149720-23","149720-23",2018
"8","149720-23","24981-04",2018
"9","149720-23","51472-45",2018
"10","56829-97","50980-60",2018
"11","60139-90","50980-60",2018
"12","56829-97","56829-97",2018
"13","60139-90","56829-97",2018
"14","56829-97","60139-90",2018
"15","60139-90","60139-90",2018
"16","56829-97","65419-66",2018
"17","60139-90","65419-66",2018
"18","148770-82","148770-82",2018
"19","148770-82","182080-00",2018
"20","11295-73","11295-73",2018
"21","11295-73","11307-34",2018
"22","11295-73","11315-62",2018
"23","11295-73","133172-56",2018
"24","11295-73","55869-04",2018
"25","11295-73","55889-20",2018
"26","11295-73","56004-85",2018
"27","11295-73","56252-44",2018
"28","11295-73","59264-65",2018
"29","104776-30","104776-30",2017
"30","104776-30","54201-61",2017
"31","113110-12","113110-12",2018
"32","89936-74","113110-12",2018
"33","113110-12","89936-74",2018
"34","89936-74","89936-74",2018
"35","58619-35","40414-78",2018
"36","58619-35","58619-35",2018
"37","11268-55","108358-57",2018
"38","11268-55","11258-56",2018
"39","11268-55","11268-55",2018
"40","40431-25","11158-39",2018
"41","40431-25","11331-01",2018
"42","40431-25","40431-25",2018
"43","40431-25","56144-62",2018
"44","11264-68","10020-07",2018
"45","11264-68","11186-20",2018
"46","11264-68","11264-68",2018
"47","11264-68","56639-53",2018
"48","40431-25","11227-60",2018
"49","40431-25","40431-25",2018
"50","152407-00","11208-16",2018
"51","152407-00","152407-00",2018
"52","56141-11","166172-86",2018
"53","56141-11","187980-13",2018
"54","56141-11","56141-11",2018
"55","58222-18","168558-13",2016
"56","58222-18","58222-18",2016
"57","11142-91","11142-91",2014
"58","89936-74","11142-91",2014
"59","11142-91","89936-74",2014
"60","89936-74","89936-74",2014
"61","11215-54","11215-54",2014
"62","168558-13","11215-54",2014
"63","11215-54","11295-73",2014
"64","168558-13","11295-73",2014
"65","11215-54","168558-13",2014
"66","168558-13","168558-13",2014
"67","11215-54","96985-27",2014
"68","168558-13","96985-27",2014
"69","53974-99","154387-00",2017
"70","56010-97","154387-00",2017
"71","53974-99","53974-99",2017
"72","56010-97","53974-99",2017
"73","53974-99","56010-97",2017
"74","56010-97","56010-97",2017
"75","11227-60","11227-60",2018
"76","51768-10","11227-60",2018
"77","11227-60","51768-10",2018
"78","51768-10","51768-10",2018
"79","11227-60","55436-86",2018
"80","51768-10","55436-86",2018
"81","11227-60","60032-35",2018
"82","51768-10","60032-35",2018
"83","168561-91","168561-91",2015
"84","168561-91","51004-36",2015
"85","168561-91","57999-43",2015
"86","168561-91","62532-91",2015
"87","53487-28","10123-03",2018
"88","53487-28","10156-69",2018
"89","53487-28","11211-40",2018
"90","53487-28","53487-28",2018
"91","53487-28","58996-09",2018
"92","52135-93","10521-46",2018
"93","52135-93","11166-58",2018
"94","52135-93","42715-09",2018
"95","52135-93","43014-79",2018
"96","52135-93","52135-93",2018
"97","224128-54","224128-54",2018
"98","224128-54","224128-81",2018
"99","224128-54","224128-90",2018
"100","53941-06","153334-45",2018
"101","53941-06","53941-06",2018
"102","224127-91","107422-39",2018
"103","224127-91","224127-91",2018
"104","224127-91","54588-07",2018
"105","224127-91","98807-14",2018
"106","57500-11","11244-52",2018
"107","57500-11","224535-88",2018
"108","57500-11","55568-62",2018
"109","57500-11","57500-11",2018
"110","54892-09","11191-87",2018
"111","54892-09","11229-85",2018
"112","54892-09","52688-71",2018
"113","54892-09","54892-09",2018
"114","120762-91","109318-06",2018
"115","120762-91","11321-29",2018
"116","120762-91","120762-91",2018
"117","120762-91","40995-55",2018
"118","11275-75","11270-53",2018
"119","11275-75","11275-75",2018
"120","11275-75","166769-83",2018
"121","11275-75","182530-81",2018
"122","11275-75","187980-13",2018
"123","11275-75","56010-97",2018
"124","11275-75","56560-42",2018
"125","11275-75","60026-68",2018
"126","64182-25","11191-96",2018
"127","64182-25","60321-61",2018
"128","64182-25","64182-25",2018
"129","56060-38","11318-86",2018
"130","56060-38","42788-17",2018
"131","56060-38","56060-38",2018
"132","123123-88","123123-88",2018
"133","128386-81","123123-88",2018
"134","123123-88","128386-81",2018
"135","128386-81","128386-81",2018
"136","149389-75","123030-10",2017
"137","149389-75","149389-75",2017
"138","149389-75","58988-17",2017
"139","11266-84","11266-84",2018
"140","11274-22","11266-84",2018
"141","11266-84","11274-22",2018
"142","11274-22","11274-22",2018
"143","11266-84","54173-80",2018
"144","11274-22","54173-80",2018
"145","11258-83","11237-95",2018
"146","11258-83","11258-83",2018
"147","11258-83","51041-26",2018
