Name,Rank,Count,X..100K,X..White,X..Black,X..API,X..AIAN,X..2.or.More.Races,X..Hispanic.Origin,Rank.in.2000,Count.in.2000,Change.since.2000,X..Change,Rank.change,Cumulative.proportion...100.000,race
AAMODT,30390,769,0.26,94.15,,,1.56,1.56,2.34,29142,766,3,0.4%,-1248,,white
AARON,2241,16276,5.52,66.02,25.61,1.3,0.56,2.22,4.28,2236,14904,1372,9.2%,-5,,white
AARONSON,22106,1171,0.4,96.5,,0.77,,1.11,1.45,20871,1176,-5,-0.4%,-1235,,white
AASE,40909,533,0.18,95.12,,1.88,0,(S),2.44,38263,544,-11,-2.0%,-2646,,white
AASEN,24090,1045,0.35,95.02,,0.86,,2.87,0.86,21791,1113,-68,-6.1%,-2299,,white
ABADI,34539,655,0.22,70.99,9.01,,,6.56,8.85,40690,506,149,29.4%,6151,,white
ABADIA,42237,514,0.17,14.98,,3.5,,(S),80.54,53420,363,151,41.6%,11183,,hispanic
ABADIE,19145,1419,0.48,81.68,3.24,1.41,0.7,0.7,12.26,18165,1413,6,0.4%,-980,,white
ABAIR,40432,541,0.18,85.21,9.8,,,2.59,1.66,35187,606,-65,-10.7%,-5245,,white
ABARCA,3780,9363,3.17,3.47,0.19,1.4,0.19,0.44,94.31,5486,5830,3533,60.6%,1706,,hispanic
ABARE,35582,632,0.21,96.04,,,,1.27,1.42,31924,683,-51,-7.5%,-3658,,white
ABASCAL,42378,512,0.17,11.33,,,0,(S),87.3,45227,446,66,14.8%,2849,,hispanic
ABASCAL,45227,446,0.17,18.16,,,0,(S),79.82,,,,"",,81861.26,hispanic
ABATE,7644,4344,1.47,84.94,10.22,0.37,0.12,1.01,3.34,7905,3885,459,11.8%,261,,white
ABAYA,45482,443,0.16,7.45,,76.75,,7,7.22,,,,"",,81903.32,asian
ABAYA,40261,544,0.18,6.8,2.94,76.65,0,8.27,5.33,45482,443,101,22.8%,5221,,asian
ABBATE,11644,2692,0.91,93.39,,0.67,,1,4.23,10923,2673,19,0.7%,-721,,white
ABBATIELLO,30390,769,0.26,95.97,,,,0.78,2.47,31339,699,70,10.0%,949,,white
ABBE,19697,1368,0.46,92.47,2.85,1.02,0.66,1.32,1.68,18938,1333,35,2.6%,-759,,white
ABBETT,38155,581,0.2,93.98,,2.07,,1.72,1.72,35860,592,-11,-1.9%,-2295,,white
ABBEY,6574,5150,1.75,82.19,11.2,1.26,1.15,2.14,2.06,6281,4994,156,3.1%,-293,,white
ABBITT,35537,633,0.21,74.88,18.17,,,3.79,1.58,34757,615,18,2.9%,-780,,white
ABBO,42579,509,0.17,79.37,8.45,0,0,6.68,5.5,54020,358,151,42.2%,11441,,white
ABBOT,27918,859,0.29,85.56,7.57,1.75,,(S),3.26,26306,873,-14,-1.6%,-1612,,white
ABBOTT,645,52739,17.88,89.5,4.89,0.65,0.66,1.78,2.53,588,51620,1119,2.2%,-57,,white
ABBOUD,17455,1615,0.55,88.54,0.56,0.37,0,4.4,6.13,20468,1205,410,34.0%,3013,,white
ABBRUZZESE,28650,832,0.28,96.88,0,,,0.84,1.8,29932,740,92,12.4%,1282,,white
ABDALLAH,8032,4121,1.4,76.66,10.68,1.33,0.22,6.62,4.49,10221,2894,1227,42.4%,2189,,white
ABDELAZIZ,24339,1030,0.35,76.7,10,2.23,0,5.05,6.02,34399,623,407,65.3%,10060,,white
