node,companyid,l4c,l4c_scaled,gender,ethnicity,age_diff,geo_dist,ivyplus,prior_investments_success,complementarity,exec_age,male_exec,nonwhite_exec,ivyplus_exec,year,comp_lon,comp_lat,neighborhood_edges,no_deals_nh,no_deals_5year_nh,company_state
100069-30F,61855-66,0,0,1,1,1,260772.36,0,0,1,0,1,0,0,2013,-84.742188,43.828266,8,2,6,Generating revenue
100069-30F,64184-50,0,0,1,1,2,74552.203,0,0,1,0,1,0,0,2014,-83.650711,40.993263,12,3,9,Exit
100071-28F,163674-55,0,0,1,.5,6,4141386.3,1,0,1,0,1,1,1,2017,-73.996529,40.750744,24,6,30,Generating revenue
100079-29F,12110-59,3,.42857143,1,1,0,2973536.5,0,0,0,0,1,0,1,2001,-87.865562,42.169327,7,2,2,Exit
100140-67F,54603-46,18,.44999999,1,1,1,11931.128,0,0,1,5,1,0,0,2017,-90.193001,38.63155,40,6,18,Generating revenue
100140-67F,99278-38,18,.52941179,1,1,5,2809263,0,0,0,0,1,0,0,2015,-122.49949,37.855526,34,5,12,Startup
100140-67F,154896-49,18,.48648649,1,.5,6,2699.333,0,0,.5,0,1,0,0,2016,-90.261818,38.622601,37,4,26,Startup
100140-67F,124040-98,18,.47368422,.5,1,8,16147.953,0,0,.5,0,1,0,0,2018,-90.436432,38.618584,38,6,34,Startup
100256-68F,97869-52,0,0,0,1,0,0,0,0,0,0,0,0,0,2015,-122.13273,37.419388,2,2,2,Out of business
100256-68F,169949-44,0,0,1,1,2,0,0,0,1,0,0,0,0,2017,-122.13273,37.419388,4,2,5,Out of business
100261-99F,100080-91,0,0,1,.5,0,1092005.1,0,0,.5,0,1,1,0,2013,-122.20308,47.61837,2,2,2,Generating revenue
100285-48F,169285-24,10,.081967212,1,1,17,966124.88,0,0,1,4,1,0,0,2017,-111.79449,40.394234,122,18,207,Not profitable
100285-48F,98315-47,10,.081967212,1,1,21,29541.064,0,0,1,0,1,0,0,2017,-122.25855,37.868576,122,6,69,Startup
100285-48F,172235-17,10,.081967212,1,0,20,535827.5,.5,0,1,1,1,0,0,2017,-118.408,33.942501,122,12,138,Generating revenue
100285-48F,177854-86,10,.081967212,1,1,0,0,0,0,0,0,1,0,0,2017,-111.978,40.788399,122,2,2,Generating revenue
100293-76F,104038-66,0,0,.75,1,.75,2372253.8,0,0,.25,3.25,0,0,0,2017,-97.830872,30.501272,7,4,8,Exit
100294-03F,104038-66,0,0,.75,1,.75,2372253.8,0,0,.25,3.25,1,0,0,2017,-97.830872,30.501272,7,4,8,Exit
100305-82F,99396-19,0,0,1,1,0,4351027,.5,0,1,0,1,0,1,2014,-122.32773,37.551586,2,2,2,
100316-80F,91829-17,0,0,1,1,2,1258947,0,0,0,0,1,0,0,2015,-72.718834,41.791775,4,1,2,Generating revenue
100371-16F,112984-75,0,0,1,1,15,2519.4211,0,0,0,2,1,0,0,2017,-122.3957,37.789227,8,1,10,Exit
100378-99F,13407-22,0,0,1,.5,0,884691.19,0,0,1,0,1,0,0,2002,-82.493919,28.071503,2,2,2,Exit
100381-78F,119999-62,0,0,1,0,4,25104.824,0,0,1,0,1,1,0,2017,-122.375,37.618999,20,3,15,Generating revenue
100390-87F,86750-02,3,.14285715,1,0,1,3493771,0,0,1,0,1,1,0,2017,-122.6446,45.52874,21,2,4,Generating revenue
