q326,q327,q328,q329,q330,q331,q332,q333,q334,q335,q336,q395,q396,q397,q398,q399,q400,q401,q402,q403,q404,q405,q406,q407,q408,F_GT_UGA,F_GT,F_UGA,F_ONLY
3,0,Sports,2,0,0,0,0,0,0,0,Male,Under 25,Bachelors degree,White,,,,,,,Yes,No,"$25k-$49,999",31204,0,0,1,0
1,1,Other,4,1,0,0,0,0,1,0,Female,45-54,Bachelors degree,,,African American,,,,,No,Yes,"$50k-$74,999",30134,0,0,0,0
4,1,Role playing game,2,1,1,1,0,0,0,1,Male,25-34,Bachelors degree,White,,,,,,,No,No,"$50k-$74,999",30062,0,1,0,0
1,0,First-person shooters,1,0,0,0,0,0,0,0,Female,25-34,Bachelors degree,,,,Asian,,,,No,No,Prefer not to answer,36265,0,0,0,1
4,2,Real-time strategy,3,2,1,1,0,0,0,0,Male,25-34,Advanced or professional degree,White,,,,,,,Yes,Yes,Prefer not to answer,30317,0,0,1,0
4,0,Sports,1,0,0,0,0,0,0,0,Male,45-54,Some college,White,,,,,,,Yes,Yes,"$100k-$149,999",30016,1,0,0,0
1,1,Sports,1,0,0,0,0,0,0,0,Male,35-44,Prefer not to answer,White,,,,,,,No,Yes,"$75k-$99,999",,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0,0
0,,,1,0,0,0,0,0,0,0,Female,55-64,Technical degree,White,,,,,,,Yes,No,"$100k-$149,999",29678,0,0,0,0
0,,,,0,0,0,0,0,0,0,Female,55-64,Bachelors degree,White,,,,,,,Yes,No,"$150k-$249,999",,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Some college,White,,,,,,,Yes,Yes,"$100k-$149,999",31210,0,0,0,0
0,,Sports,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,"$150k-$249,999",30252,0,0,0,0
4,1,Sports,5,4,0,0,0,0,1,0,,,,,,,,,,,,,,,0,0,0,0
1,0,,1,0,0,0,0,0,0,0,Male,55-64,Technical degree,,,,,,Other,,Yes,No,"$25k-$49,999",30276,0,0,0,0
1,0,Sports,3,0,0,0,0,0,0,0,Male,25-34,High school diploma,White,,,,,,,No,No,"$25k-$49,999",30117,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
1,1,First-person shooters,2,0,0,0,0,0,0,0,Male,35-44,Some college,White,,,,,,,Yes,No,Prefer not to answer,36869,0,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,White,,,,,,,Yes,No,"$150k-$249,999",30248,0,0,0,0
0,,,5,4,0,0,0,0,1,0,Female,45-54,Bachelors degree,White,,,,,,,No,No,"$75k-$99,999",30041,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,Other,,5,0,0,0,0,1,1,Male,65+,Advanced or professional degree,White,,,,,,,Yes,No,Prefer not to answer,30080,0,0,0,0
